構文ID,例文ID,V_group_key,原文,Slot,SlotPhrase,PhraseType,SubslotID,SubslotElement,Slot_display_order,display_order,QuestionType
1000,ex001,recovered,He has recovered quickly from a serious injury.,Aux,has,word,,,1,0,
1000,ex001,recovered,,S,He,word,,,2,0,
1000,ex001,recovered,,V,recovered,word,,,3,0,
1000,ex001,recovered,,M2,quickly,word,,,4,0,
1000,ex001,recovered,,M3,from a serious injury,word,,,5,0,
1001,ex002,lie,I lie on the bed.,S,I,word,,,1,0,
1001,ex002,lie,,V,lie,word,,,2,0,
1001,ex002,lie,,M3,on the bed,word,,,3,0,
1002,ex003,lie,You lie on the sofa.,S,You,word,,,1,0,
1002,ex003,lie,,V,lie,word,,,2,0,
1002,ex003,lie,,M3,on the sofa,word,,,3,0,
1003,ex004,lie,We lie on the floor.,S,We,word,,,1,0,
1003,ex004,lie,,V,lie,word,,,2,0,
1003,ex004,lie,,M3,on the floor,word,,,3,0,
1004,ex005,lie,They lie on the couch.,S,They,word,,,1,0,
1004,ex005,lie,,V,lie,word,,,2,0,
1004,ex005,lie,,M3,on the couch,word,,,3,0,
1005,ex006,got,You got me!,S,You,word,,,1,0,
1005,ex006,got,,V,got,word,,,2,0,
1005,ex006,got,,O1,me,word,,,3,0,
1006,ex007,got,I got him!,S,I,word,,,1,0,
1006,ex007,got,,V,got,word,,,2,0,
1006,ex007,got,,O1,him,word,,,3,0,
1007,ex008,got,He got them!,S,He,word,,,1,0,
1007,ex008,got,,V,got,word,,,2,0,
1007,ex008,got,,O1,them,word,,,3,0,
1008,ex009,got,We got Mark!,S,We,word,,,1,0,
1008,ex009,got,,V,got,word,,,2,0,
1008,ex009,got,,O1,Mark,word,,,3,0,
1009,ex010,get,Where did you get it?,M3,where,word,,,1,0,wh-word
1009,ex010,get,,Aux,did,word,,,2,0,
1009,ex010,get,,S,you,word,,,3,0,
1009,ex010,get,,V,get,word,,,4,0,
1009,ex010,get,,O1,it,word,,,5,0,
1010,ex011,get,Where did I get the device?,M3,where,word,,,1,0,wh-word
1010,ex011,get,,Aux,did,word,,,2,0,
1010,ex011,get,,S,I,word,,,3,0,
1010,ex011,get,,V,get,word,,,4,0,
1010,ex011,get,,O1,the device,word,,,5,0,
1011,ex012,get,Where did she get the book?,M3,where,word,,,1,0,wh-word
1011,ex012,get,,Aux,did,word,,,2,0,
1011,ex012,get,,S,she,word,,,3,0,
1011,ex012,get,,V,get,word,,,4,0,
1011,ex012,get,,O1,the book,word,,,5,0,
1012,ex013,get,Where did they get the information?,M3,where,word,,,1,0,wh-word
1012,ex013,get,,Aux,did,word,,,2,0,
1012,ex013,get,,S,they,word,,,3,0,
1012,ex013,get,,V,get,word,,,4,0,
1012,ex013,get,,O1,the information,word,,,5,0,
1013,ex014,give,"You, give it to me straight.",S,You,word,,,1,0,
1013,ex014,give,,V,give,word,,,2,0,
1013,ex014,give,,O1,it,word,,,3,0,
1014,ex015,give,"You, give that to him clearly.",S,You,word,,,1,0,
1014,ex015,give,,V,give,word,,,2,0,
1014,ex015,give,,O1,that,word,,,3,0,
1014,ex015,give,,M2,clearly,word,,,4,0,
1015,ex016,give,"You, give this to her honestly.",S,You,word,,,1,0,
1015,ex016,give,,V,give,word,,,2,0,
1015,ex016,give,,O1,this,word,,,3,0,
1015,ex016,give,,M2,honestly,word,,,4,0,
1016,ex017,give,"You, give them to us directly.",S,You,word,,,1,0,
1016,ex017,give,,V,give,word,,,2,0,
1016,ex017,give,,O1,them,word,,,3,0,
1016,ex017,give,,M2,directly,word,,,4,0,
1017,ex018,reminds,That reminds me.,S,That,word,,,1,0,
1017,ex018,reminds,,V,reminds,word,,,2,0,
1017,ex018,reminds,,O1,me,word,,,3,0,
1018,ex019,reminds,This reminds you.,S,This,word,,,1,0,
1018,ex019,reminds,,V,reminds,word,,,2,0,
1018,ex019,reminds,,O1,you,word,,,3,0,
1019,ex020,reminds,It reminds her.,S,It,word,,,1,0,
1019,ex020,reminds,,V,reminds,word,,,2,0,
1019,ex020,reminds,,O1,her,word,,,3,0,
1020,ex021,reminds,Everything reminds them.,S,Everything,word,,,1,0,
1020,ex021,reminds,,V,reminds,word,,,2,0,
1020,ex021,reminds,,O1,them,word,,,3,0,
1021,ex022,hold,"Would you hold the line, please?",Aux,Would,word,,,1,0,
1021,ex022,hold,,S,you,word,,,2,0,
1021,ex022,hold,,V,hold,word,,,3,0,
1021,ex022,hold,,O1,the line,word,,,4,0,
1022,ex023,hold,"Would you hold the call, please?",Aux,Would,word,,,1,0,
1022,ex023,hold,,S,you,word,,,2,0,
1022,ex023,hold,,V,hold,word,,,3,0,
1022,ex023,hold,,O1,the call,word,,,4,0,
1023,ex024,hold,"Would you hold the phone, please?",Aux,Would,word,,,1,0,
1023,ex024,hold,,S,you,word,,,2,0,
1023,ex024,hold,,V,hold,word,,,3,0,
1023,ex024,hold,,O1,the phone,word,,,4,0,
1024,ex025,hold,"Would you hold the connection, please?",Aux,Would,word,,,1,0,
1024,ex025,hold,,S,you,word,,,2,0,
1024,ex025,hold,,V,hold,word,,,3,0,
1024,ex025,hold,,O1,the connection,word,,,4,0,
1025,ex026,seen,I haven't seen you for a long time.,Aux,have,word,,,1,0,
1025,ex026,seen,,S,I,word,,,2,0,
1025,ex026,seen,,V,seen,word,,,3,0,
1025,ex026,seen,,O1,you,word,,,4,0,
1025,ex026,seen,,M2,for a long time,word,,,5,0,
1026,ex027,seen,You haven't seen me for ages.,Aux,have,word,,,1,0,
1026,ex027,seen,,S,You,word,,,2,0,
1026,ex027,seen,,V,seen,word,,,3,0,
1026,ex027,seen,,O1,me,word,,,4,0,
1026,ex027,seen,,M2,for ages,word,,,5,0,
1027,ex028,seen,We haven't seen Ken for months.,Aux,have,word,,,1,0,
1027,ex028,seen,,S,We,word,,,2,0,
1027,ex028,seen,,V,seen,word,,,3,0,
1027,ex028,seen,,O1,Ken,word,,,4,0,
1027,ex028,seen,,M2,for months,word,,,5,0,
1027,ex028,seen,,M3,months,word,,,6,0,
1028,ex029,seen,They haven't seen him for years.,Aux,have,word,,,1,0,
1028,ex029,seen,,S,They,word,,,2,0,
1028,ex029,seen,,V,seen,word,,,3,0,
1028,ex029,seen,,O1,him,word,,,4,0,
1028,ex029,seen,,M2,for years,word,,,5,0,
1028,ex029,seen,,M3,years,word,,,6,0,
1029,ex030,want,I want something hot.,S,I,word,,,1,0,
1029,ex030,want,,V,want,word,,,2,0,
1029,ex030,want,,O1,something hot,word,,,3,0,
1030,ex031,want,You want something spicy.,S,You,word,,,1,0,
1030,ex031,want,,V,want,word,,,2,0,
1030,ex031,want,,O1,something spicy,word,,,3,0,
1031,ex032,want,We want something sweet.,S,We,word,,,1,0,
1031,ex032,want,,V,want,word,,,2,0,
1031,ex032,want,,O1,something sweet,word,,,3,0,
1032,ex033,want,They want something fresh.,S,They,word,,,1,0,
1032,ex033,want,,V,want,word,,,2,0,
1032,ex033,want,,O1,something fresh,word,,,3,0,
1033,ex034,write,"Could you write it down, please?",Aux,Could,word,,,1,0,
1033,ex034,write,,S,you,word,,,2,0,
1033,ex034,write,,V,write,word,,,3,0,
1033,ex034,write,,O1,it,word,,,4,0,
1034,ex035,write,"Could I write the sentence down, please?",Aux,Could,word,,,1,0,
1034,ex035,write,,S,I,word,,,2,0,
1034,ex035,write,,V,write,word,,,3,0,
1034,ex035,write,,O1,the sentence,word,,,4,0,
1035,ex036,write,"Could she write the address down, please?",Aux,Could,word,,,1,0,
1035,ex036,write,,S,she,word,,,2,0,
1035,ex036,write,,V,write,word,,,3,0,
1035,ex036,write,,O1,the address,word,,,4,0,
1036,ex037,write,"Could they write the number down, please?",Aux,Could,word,,,1,0,
1036,ex037,write,,S,they,word,,,2,0,
1036,ex037,write,,V,write,word,,,3,0,
1036,ex037,write,,O1,the number,word,,,4,0,
1037,ex038,afford,I can't afford it.,Aux,cannot,word,,,1,0,
1037,ex038,afford,,S,I,word,,,2,0,
1037,ex038,afford,,V,afford,word,,,3,0,
1037,ex038,afford,,O1,it,word,,,4,0,
1038,ex039,afford,You can't afford the jacket.,Aux,cannot,word,,,1,0,
1038,ex039,afford,,S,You,word,,,2,0,
1038,ex039,afford,,V,afford,word,,,3,0,
1038,ex039,afford,,O1,the jacket,word,,,4,0,
1039,ex040,afford,She can't afford the car.,Aux,cannot,word,,,1,0,
1039,ex040,afford,,S,She,word,,,2,0,
1039,ex040,afford,,V,afford,word,,,3,0,
1039,ex040,afford,,O1,the car,word,,,4,0,
1040,ex041,afford,They can't afford the house.,Aux,cannot,word,,,1,0,
1040,ex041,afford,,S,They,word,,,2,0,
1040,ex041,afford,,V,afford,word,,,3,0,
1040,ex041,afford,,O1,the house,word,,,4,0,
1041,ex042,believe,I believe you.,S,I,word,,,1,0,
1041,ex042,believe,,V,believe,word,,,2,0,
1041,ex042,believe,,O1,you,word,,,3,0,
1042,ex043,believe,You believe Tom.,S,You,word,,,1,0,
1042,ex043,believe,,V,believe,word,,,2,0,
1042,ex043,believe,,O1,Tom,word,,,3,0,
1043,ex044,believe,We believe her.,S,We,word,,,1,0,
1043,ex044,believe,,V,believe,word,,,2,0,
1043,ex044,believe,,O1,her,word,,,3,0,
1044,ex045,believe,They believe him.,S,They,word,,,1,0,
1044,ex045,believe,,V,believe,word,,,2,0,
1044,ex045,believe,,O1,him,word,,,3,0,
1045,ex046,mentioned,Henry mentioned the fact.,S,Henry,word,,,1,0,
1045,ex046,mentioned,,V,mentioned,word,,,2,0,
1045,ex046,mentioned,,O1,the fact,word,,,3,0,
1046,ex047,mentioned,Sarah mentioned the issue.,S,Sarah,word,,,1,0,
1046,ex047,mentioned,,V,mentioned,word,,,2,0,
1046,ex047,mentioned,,O1,the issue,word,,,3,0,
1047,ex048,mentioned,Tom mentioned the problem.,S,Tom,word,,,1,0,
1047,ex048,mentioned,,V,mentioned,word,,,2,0,
1047,ex048,mentioned,,O1,the problem,word,,,3,0,
1048,ex049,mentioned,They mentioned the concern.,S,They,word,,,1,0,
1048,ex049,mentioned,,V,mentioned,word,,,2,0,
1048,ex049,mentioned,,O1,the concern,word,,,3,0,
1049,ex050,entered,He entered her room.,S,He,word,,,1,0,
1049,ex050,entered,,V,entered,word,,,2,0,
1049,ex050,entered,,O1,room,word,,,3,0,
1050,ex051,entered,She entered his office.,S,She,word,,,1,0,
1050,ex051,entered,,V,entered,word,,,2,0,
1050,ex051,entered,,O1,office,word,,,3,0,
1051,ex052,entered,Tom entered Sarah's house.,S,Tom,word,,,1,0,
1051,ex052,entered,,V,entered,word,,,2,0,
1051,ex052,entered,,O1,house,word,,,3,0,
1052,ex053,entered,They entered the building.,S,They,word,,,1,0,
1052,ex053,entered,,V,entered,word,,,2,0,
1052,ex053,entered,,O1,the building,word,,,3,0,
1053,ex054,left,He left New York a few days ago.,S,He,word,,,1,0,
1053,ex054,left,,V,left,word,,,2,0,
1053,ex054,left,,O1,New York,word,,,3,0,
1053,ex054,left,,M2,ago,word,,,4,0,
1053,ex054,left,,M3,a few days ago,word,,,5,0,
1054,ex055,left,She left Rome last week.,S,She,word,,,1,0,
1054,ex055,left,,V,left,word,,,2,0,
1054,ex055,left,,O1,Rome,word,,,3,0,
1054,ex055,left,,M3,last week,word,,,5,0,
1055,ex056,left,Tom left Paris yesterday.,S,Tom,word,,,1,0,
1055,ex056,left,,V,left,word,,,2,0,
1055,ex056,left,,O1,Paris,word,,,3,0,
1055,ex056,left,,M3,yesterday,word,,,5,0,
1056,ex057,left,They left London this morning.,S,They,word,,,1,0,
1056,ex057,left,,V,left,word,,,2,0,
1056,ex057,left,,O1,London,word,,,3,0,
1056,ex057,left,,M3,this morning,word,,,5,0,
1057,ex058,reached,He reached Boston the next morning.,S,He,word,,,1,0,
1057,ex058,reached,,V,reached,word,,,2,0,
1057,ex058,reached,,O1,Boston,word,,,3,0,
1057,ex058,reached,,M3,next morning,word,,,4,0,
1058,ex059,reached,She reached Milan that evening.,S,She,word,,,1,0,
1058,ex059,reached,,V,reached,word,,,2,0,
1058,ex059,reached,,O1,Milan,word,,,3,0,
1058,ex059,reached,,M3,that evening,word,,,4,0,
1059,ex060,reached,Tom reached Tokyo at noon.,S,Tom,word,,,1,0,
1059,ex060,reached,,V,reached,word,,,2,0,
1059,ex060,reached,,O1,Tokyo,word,,,3,0,
1059,ex060,reached,,M3,at noon,word,,,4,0,
1060,ex061,reached,They reached Berlin at midnight.,S,They,word,,,1,0,
1060,ex061,reached,,V,reached,word,,,2,0,
1060,ex061,reached,,O1,Berlin,word,,,3,0,
1060,ex061,reached,,M3,at midnight,word,,,4,0,
1061,ex062,approach,I approach Tokyo.,S,I,word,,,1,0,
1061,ex062,approach,,V,approach,word,,,2,0,
1061,ex062,approach,,O1,Tokyo,word,,,3,0,
1062,ex063,approach,You approach the station.,S,You,word,,,1,0,
1062,ex063,approach,,V,approach,word,,,2,0,
1062,ex063,approach,,O1,the station,word,,,3,0,
1063,ex064,approach,We approach the building.,S,We,word,,,1,0,
1063,ex064,approach,,V,approach,word,,,2,0,
1063,ex064,approach,,O1,the building,word,,,3,0,
1064,ex065,approach,They approach the destination.,S,They,word,,,1,0,
1064,ex065,approach,,V,approach,word,,,2,0,
1064,ex065,approach,,O1,the destination,word,,,3,0,
1065,ex066,resembles,He resembles his mother.,S,He,word,,,1,0,
1065,ex066,resembles,,V,resembles,word,,,2,0,
1065,ex066,resembles,,O1,mother,word,,,3,0,
1066,ex067,resembles,She resembles her father.,S,She,word,,,1,0,
1066,ex067,resembles,,V,resembles,word,,,2,0,
1066,ex067,resembles,,O1,father,word,,,3,0,
1067,ex068,resembles,Tom resembles his uncle.,S,Tom,word,,,1,0,
1067,ex068,resembles,,V,resembles,word,,,2,0,
1067,ex068,resembles,,O1,uncle,word,,,3,0,
1068,ex069,resemble,They resemble their parents.,S,They,word,,,1,0,
1068,ex069,resemble,,V,resemble,word,,,2,0,
1068,ex069,resemble,,O1,parents,word,,,3,0,
1069,ex070,married,She married a bald man.,S,She,word,,,1,0,
1069,ex070,married,,V,married,word,,,2,0,
1069,ex070,married,,O1,a bald man,word,,,3,0,
1070,ex071,married,He married a quiet woman.,S,He,word,,,1,0,
1070,ex071,married,,V,married,word,,,2,0,
1070,ex071,married,,O1,a quiet woman,word,,,3,0,
1071,ex072,married,Sarah married a kind person.,S,Sarah,word,,,1,0,
1071,ex072,married,,V,married,word,,,2,0,
1071,ex072,married,,O1,a kind person,word,,,3,0,
1072,ex073,married,They married their partners.,S,They,word,,,1,0,
1072,ex073,married,,V,married,word,,,2,0,
1072,ex073,married,,O1,partners,word,,,3,0,
1073,ex074,unknown_74,She's been married to a bald man for 5 years.,M2,to a bald man,word,,,1,0,
1073,ex074,unknown_74,,M3,5 years,word,,,2,0,
1074,ex075,unknown_75,He's been married to a kind woman for 3 years.,M2,to a kind woman,word,,,1,0,
1074,ex075,unknown_75,,M3,3 years,word,,,2,0,
1075,ex076,unknown_76,Sarah's been married to a nice person for 2 years.,M2,to a nice person,word,,,1,0,
1075,ex076,unknown_76,,M3,2 years,word,,,2,0,
1076,ex077,unknown_77,Tom's been married to a lovely partner for 10 years.,M2,to a lovely partner,word,,,1,0,
1076,ex077,unknown_77,,M3,10 years,word,,,2,0,
1077,ex078,answer,He'll answer your letter soon.,Aux,'ll,word,,,1,0,
1077,ex078,answer,,S,He,word,,,2,0,
1077,ex078,answer,,V,answer,word,,,3,0,
1077,ex078,answer,,O1,letter,word,,,4,0,
1077,ex078,answer,,M2,soon,word,,,5,0,
1078,ex079,answer,She'll answer his message tomorrow.,Aux,'ll,word,,,1,0,
1078,ex079,answer,,S,She,word,,,2,0,
1078,ex079,answer,,V,answer,word,,,3,0,
1078,ex079,answer,,O1,message,word,,,4,0,
1078,ex079,answer,,M3,tomorrow,word,,,6,0,
1079,ex080,answer,Tom'll answer the email later.,S,Tom'll,word,,,2,0,
1079,ex080,answer,,V,answer,word,,,3,0,
1079,ex080,answer,,O1,the email,word,,,4,0,
1079,ex080,answer,,M2,later,word,,,5,0,
1080,ex081,answer,They'll answer our call tonight.,Aux,'ll,word,,,1,0,
1080,ex081,answer,,S,They,word,,,2,0,
1080,ex081,answer,,V,answer,word,,,3,0,
1080,ex081,answer,,O1,call,word,,,4,0,
1080,ex081,answer,,M3,tonight,word,,,6,0,
1081,ex082,discuss,We discuss our schedule.,S,We,word,,,1,0,
1081,ex082,discuss,,V,discuss,word,,,2,0,
1081,ex082,discuss,,O1,schedule,word,,,3,0,
1082,ex083,discuss,You discuss your project.,S,You,word,,,1,0,
1082,ex083,discuss,,V,discuss,word,,,2,0,
1082,ex083,discuss,,O1,project,word,,,3,0,
1083,ex084,discuss,They discuss their plan.,S,They,word,,,1,0,
1083,ex084,discuss,,V,discuss,word,,,2,0,
1083,ex084,discuss,,O1,plan,word,,,3,0,
1084,ex085,discuss,I discuss my proposal.,S,I,word,,,1,0,
1084,ex085,discuss,,V,discuss,word,,,2,0,
1084,ex085,discuss,,O1,proposal,word,,,3,0,
